설비번호,설비명,사용용도,전압,구입년월,제조회사명,설치장소,관리부서,관리자_정,관리자_부,특이사항
1,B120,제조,-,201803,한독,로스팅실,시설관리,전민영,-,
,,,,,,,,,,
