설비명,교정일자,작성자,검교정방법,판정기준,표준값,측정값,보정율/오차,개선조치,판정결과
온도계1,2026-03-06,,"1. 표준분동/표준온도계 준비
2. 영점 조정 및 기준값 세팅
3. 대상 기기 지시값 기록 후 비교",,0.0,0.0,0.0,1. 보정 불가능 시 교체 / 2. 교체 불가능 시 외부 의뢰,합격
온도계1,2026-03-06,정찬혁,"1. 표준분동/표준온도계 준비
2. 영점 조정 및 기준값 세팅
3. 대상 기기 지시값 기록 후 비교",,0.0,1.3,1.3,1. 보정 불가능 시 교체 / 2. 교체 불가능 시 외부 의뢰,합격
