생산일,유형,제품명,질소(%),수분(%),색도(Agtron),추출시간(sec),날짜기록,판정,비고
2026-03-05,캡슐커피,할리스 캡슐커피 시그니처 블렌드,0.0,0.0,0.0,7.6,,FAIL,
2026-03-05,캡슐커피,할리스 캡슐커피 시그니처 블렌드,0.0,0.0,0.0,7.6,,FAIL,
